from,to,weight
1,1199,0.0666666666666667
1,5199,0.05
1,9820,0.1
2,26,0.1
6,5811,0.1
8,8901,0.0666666666666667
10,7174,0.1
12,6993,0.1
13,8504,0.2
13,9735,0.2
14,4546,0.1
19,1551,0.2
19,5303,0.2
20,5337,0.2
21,7908,0.1
21,8878,0.1
23,8606,0.0666666666666667
24,7132,0.1
26,1226,0.2
26,2885,0.1
26,4880,0.1
26,5837,0.2
27,927,0.2
27,4147,0.0666666666666667
28,3926,0.0666666666666667
29,6667,0.2
30,6586,0.2
31,1562,0.1
31,8362,0.2
32,5091,0.2
32,6083,0.0666666666666667
33,8589,0.2
35,623,0.2
35,1764,0.2
36,5259,0.2
38,1605,0.1
38,6875,0.1
38,9200,0.2
40,5605,0.1
42,4686,0.1
42,5380,0.0666666666666667
43,5898,0.1
43,6578,0.0666666666666667
44,5587,0.0666666666666667
45,4239,0.05
46,2010,0.2
46,5937,0.05
46,6720,0.2
47,8354,0.1
48,6378,0.0666666666666667
49,2690,0.2
49,4625,0.0666666666666667
49,8106,0.05
50,1783,0.1
50,8849,0.05
51,182,0.1
51,533,0.2
51,4731,0.05
51,6123,0.1
51,7137,0.2
52,2095,0.2
53,1062,0.2
54,2573,0.2
54,5944,0.1
54,6501,0.2
57,1186,0.0666666666666667
58,448,0.1
58,7738,0.1
60,1018,0.1
62,6173,0.1
63,1526,0.05
65,2330,0.2
65,3924,0.2
67,2642,0.1
67,3954,0.1
67,6148,0.1
69,1582,0.0666666666666667
69,4600,0.2
69,6214,0.1
71,6095,0.1
72,43,0.05
72,10000,0.1
75,4137,0.2
76,9744,0.2
78,9494,0.1
80,4079,0.2
81,2458,0.2
81,3084,0.2
81,7602,0.2
82,9047,0.1
84,193,0.2
84,7446,0.2
87,3329,0.2
88,5632,0.2
89,1560,0.2
89,4866,0.1
91,7175,0.2
91,8670,0.2
93,4925,0.1
94,8536,0.1
95,6219,0.2
96,3413,0.0666666666666667
97,5535,0.04
99,4409,0.2
103,2741,0.1
105,1674,0.0666666666666667
105,6243,0.1
105,6303,0.1
105,8689,0.1
107,2879,0.1
107,3752,0.2
107,4408,0.1
107,8146,0.2
108,2988,0.2
110,6655,0.1
113,7173,0.1
114,1951,0.1
115,2505,0.1
115,3446,0.2
117,3838,0.1
119,4146,0.2
120,6079,0.1
121,2638,0.0666666666666667
121,4196,0.2
123,2680,0.0666666666666667
124,860,0.2
124,7300,0.0666666666666667
129,8285,0.2
130,4758,0.2
131,2503,0.2
134,3421,0.0666666666666667
136,2820,0.0666666666666667
138,2717,0.1
139,8527,0.1
142,1425,0.2
142,7545,0.1
142,9911,0.1
144,1700,0.1
144,5246,0.2
145,5851,0.0666666666666667
146,4465,0.0666666666666667
146,7664,0.2
148,8645,0.2
148,8773,0.1
149,6241,0.1
149,8093,0.2
149,9272,0.1
152,1000,0.0666666666666667
152,7141,0.2
152,9186,0.1
153,2979,0.2
153,5752,0.1
154,2537,0.1
155,8811,0.1
156,4521,0.2
156,8518,0.2
157,258,0.2
159,5480,0.1
162,8233,0.1
163,2980,0.2
163,5618,0.1
165,1733,0.2
167,3260,0.1
167,3709,0.1
167,3893,0.2
171,1272,0.2
171,2877,0.2
173,3966,0.1
173,4962,0.2
174,3007,0.2
174,7108,0.0666666666666667
176,7169,0.04
177,2684,0.1
179,9689,0.0666666666666667
179,9917,0.2
180,1099,0.1
180,9258,0.1
181,5860,0.0666666666666667
182,8097,0.05
183,7808,0.0666666666666667
184,4913,0.2
184,5450,0.2
186,628,0.05
186,1478,0.05
187,2701,0.1
187,7982,0.1
188,9644,0.1
189,2778,0.2
190,4644,0.0666666666666667
190,7100,0.0666666666666667
191,6716,0.1
197,487,0.2
198,501,0.1
199,297,0.2
199,4003,0.0666666666666667
201,925,0.2
203,9851,0.2
204,2284,0.2
204,5994,0.1
207,3678,0.1
207,4885,0.0666666666666667
207,5626,0.1
209,5353,0.05
210,4098,0.04
210,5854,0.1
211,4148,0.2
213,3283,0.1
214,5930,0.2
215,9732,0.2
216,1222,0.1
216,1912,0.05
216,7655,0.0666666666666667
218,4046,0.2
219,414,0.2
220,9130,0.2
221,9822,0.2
222,4623,0.2
223,5434,0.2
224,6860,0.1
226,2904,0.1
226,3408,0.1
226,8247,0.1
227,9990,0.2
229,788,0.1
229,8890,0.0666666666666667
230,9900,0.2
231,4752,0.2
231,5383,0.1
232,1348,0.1
232,2431,0.1
232,3953,0.1
232,7898,0.2
232,8570,0.2
232,9550,0.2
234,6414,0.2
236,786,0.2
237,5411,0.1
238,3275,0.2
239,8532,0.05
240,185,0.1
241,5407,0.1
242,7956,0.2
243,5919,0.1
245,3682,0.1
246,511,0.2
246,6810,0.2
247,8155,0.2
248,3187,0.2
248,9580,0.2
249,8802,0.1
250,924,0.2
251,4479,0.1
252,1639,0.1
253,931,0.2
255,5362,0.2
256,2838,0.1
256,8315,0.0666666666666667
256,9206,0.2
257,4275,0.1
260,6175,0.0666666666666667
261,308,0.0666666666666667
262,9742,0.1
265,4028,0.1
266,3788,0.0666666666666667
271,2242,0.1
271,3493,0.2
272,2128,0.2
273,8238,0.0666666666666667
274,8929,0.2
275,5359,0.2
276,4263,0.0666666666666667
277,1580,0.2
277,6594,0.2
278,1504,0.2
279,7233,0.2
282,1687,0.2
282,2190,0.2
283,3125,0.2
284,9274,0.1
285,6981,0.2
286,1433,0.1
287,2411,0.2
292,745,0.2
292,9672,0.0666666666666667
294,9171,0.0666666666666667
295,3035,0.1
296,8907,0.1
297,5842,0.2
297,9012,0.2
299,2105,0.2
299,6034,0.1
300,7900,0.2
301,4724,0.0666666666666667
301,9160,0.05
302,7410,0.2
303,1343,0.2
303,2519,0.1
303,2680,0.0666666666666667
303,3839,0.0666666666666667
303,4745,0.1
304,1103,0.2
305,317,0.1
305,867,0.2
305,2271,0.1
305,5160,0.1
305,7828,0.2
306,1746,0.2
311,9194,0.2
315,577,0.1
315,1446,0.2
315,8509,0.2
316,23,0.2
318,3917,0.1
321,7707,0.1
322,43,0.05
323,9754,0.1
325,5084,0.1
327,6470,0.1
330,942,0.2
331,656,0.1
331,1712,0.0666666666666667
334,3549,0.2
335,3429,0.2
336,9290,0.2
338,394,0.2
338,7237,0.2
339,3397,0.1
339,9513,0.1
341,3707,0.1
341,5081,0.1
341,7689,0.1
342,2529,0.2
343,3277,0.0666666666666667
343,7145,0.2
345,5568,0.0666666666666667
345,9828,0.0666666666666667
348,2409,0.2
349,1471,0.1
350,4479,0.1
353,2893,0.0666666666666667
354,5009,0.1
356,7643,0.1
357,8736,0.2
359,6952,0.1
361,481,0.05
361,4153,0.1
362,370,0.1
364,5794,0.2
365,3707,0.1
365,7076,0.0666666666666667
365,9106,0.2
366,105,0.2
367,4381,0.2
370,4259,0.0666666666666667
372,1802,0.0666666666666667
374,10,0.1
374,8954,0.2
375,9299,0.2
377,1387,0.2
377,2576,0.1
378,426,0.2
378,6559,0.0666666666666667
379,311,0.2
379,9316,0.0666666666666667
380,1267,0.1
380,8773,0.1
381,2697,0.2
383,6125,0.1
389,2558,0.0666666666666667
391,9321,0.1
391,9449,0.0666666666666667
392,7122,0.2
394,3527,0.1
396,4911,0.2
398,1795,0.1
399,831,0.2
399,1386,0.1
399,7427,0.1
400,2612,0.2
400,5763,0.1
401,3599,0.2
401,8975,0.1
405,2204,0.2
406,2899,0.2
407,973,0.2
409,9077,0.2
410,888,0.1
410,1322,0.2
410,6468,0.2
412,5704,0.2
412,6336,0.0666666666666667
414,940,0.2
414,1677,0.1
414,7047,0.0666666666666667
415,1311,0.2
415,5334,0.2
417,5617,0.0666666666666667
418,8704,0.0666666666666667
419,2611,0.0666666666666667
419,8708,0.2
420,5463,0.2
421,8559,0.2
422,5619,0.1
425,1221,0.2
425,7806,0.1
426,4585,0.1
430,5838,0.05
